Unit,Date,Topic,Assignment,Materials
Unit 1: What is Ancient Language Processing?,15/04/2026,Brushing-up on your Python,"**Choose one ancient language dataset**: familiarize yourself with the data model, consider how this data model fits with the datasets presented in class. Remodel your data accordingly. Do not forget collecting metadata as defined in the class examples.","Tutorials: - [How to define a function](https://www.simplilearn.com/tutorials/python-tutorial/python-functions) | - [List comprehensions](https://www.programiz.com/python-programming/list-comprehension) | - [Load, parse and extract data from ORACC json files](https://niekveldhuis.github.io/sumnet/PartI-ExtractLemmatizationfromJSON.html) | - [RegEx101.com](https://regex101.com)"
Unit 1: What is Ancient Language Processing?,22/04/2026,No Class (Independence Day),,
Unit 1: What is Ancient Language Processing?,29/04/2026,Doing Computational Philology: the (ideal) pipeline,**Explore your dataset**: upload the data into Voyant (or similar programs) or into an LLM and describe it based on distant reading techniques (i.e. quantification). Following this analysis decide where close reading would be necessary.,"Reading: [Rockwell & Sinclair (2016)](https://drive.google.com/file/d/1ZBWdgYdPBodSTIMVyBkv96Tpq4IhKeT-/view?usp=sharing) | [Sommerschield et al. (2023)](https://doi.org/10.1162/coli_a_00481) | Tools: - Voyant Tools; - AntConc; - LLM (ChatGPT, Claude, Olmoe etc.)"
Unit 2: Digitization and Annotation,06/05/2026,Pipeline I: Optical / Handwritten Character Recognition,,"[Gordin, Alper et al. (2024)](https://aclanthology.org/2024.ml4al-1.14/) | [Lincke (2021)](https://www.geschkult.fu-berlin.de/e/aegyptologie/personen/Professorinnen-und-Professoren/Lincke/Lincke_2021_OCR-Coptic.pdf) | [Chauhan's blogpost (2022)](https://digitalorientalist.com/2022/11/15/escriptorium-digital-text-production-for-urdu-hindi-and-bengali-print-part-1/)"
Unit 2: Digitization and Annotation,13/05/2026,"Pipeline II: Annotation (Lemmatization, PoS-Tagging, Treebanking)",,[Ong & Gordin (2024)](https://doi.org/10.1093/llc/fqae002) | [Sahala & Lincke (2024)](https://doi.org/10.18653/v1/2024.ml4al-1.10) | [Farsi et al. (2025)](https://aclanthology.org/2025.alp-1.17/)
Unit 3: Operationalization and the Vector Space,20/05/2026,Pipeline III: Operationalization of words I - the vector space,,"Tutorials: - [Playing with Neural Networks](https://playground.tensorflow.org/#activation=tanh&batchSize=10&dataset=circle&regDataset=reg-plane&learningRate=0.03&regularizationRate=0&noise=0&networkShape=4,2&seed=0.83462&showTestData=false&discretize=false&percTrainData=50&x=true&y=true&xTimesY=false&xSquared=false&ySquared=false&cosX=false&sinX=false&cosY=false&sinY=false&collectStats=false&problem=classification&initZero=false&hideText=false); Reading: [Riemenschneider (2025)](https://aclanthology.org/2025.alp-1.30/) | [Gordin et al. (2025)](https://aclanthology.org/2025.alp-1.33/)"
Unit 3: Operationalization and the Vector Space,27/05/2026,Pipeline IV: Operationalization of words II - Measuring distances,**Process your data and measure distances**: Data model using cuneiform data from ORACC with metadata can be found in the ALP 2024 course repository,"Tutorials: - [Coding the past: understand TF-IDF in python](https://www.codingthepast.com/2023/04/26/Text-Mining-in-Python) | - [Programming Historian: analyzing documents with TF-IDF](https://programminghistorian.org/en/lessons/analyzing-documents-with-tfidf) | - [Karsdorp, Kestemont, & Riddell 2021](https://www.humanitiesdataanalysis.org/vector-space-model/notebook.html) | Reading: [Gavin (2020)](https://doi.org/10.22148/001c.11830) | [Bennett & Sahala (2023)](https://aclanthology.org/2023.alp-1.22.pdf) | [Schweitzer (2023)](https://www.degruyterbrill.com/document/doi/10.1515/9783110761665-030/html) | [Jurafsky & Martin (2024)](https://web.stanford.edu/~jurafsky/slp3/6.pdf)"
Unit 3: Operationalization and the Vector Space,03/06/2026,Pipeline V: Operationalization of words III - Word vectors,,
Unit 4: Network Analysis and Visualization,10/06/2026,Pipeline VI: Visualization I - Graph theory,,
Unit 4: Network Analysis and Visualization,17/06/2026,Pipeline VII: Visualization II - Network metrics,,
Unit 4: Network Analysis and Visualization,24/06/2026,Presentation of class projects and feedback,,
Unit 4: Network Analysis and Visualization,01/07/2026,Presentation of class projects and feedback,,